I1;I2;I1MAX;I1MIN;I1VAR;I2MAX;I2MIN;I2VAR;I3;I4;I3max;I3min;I3var;I4MAX;I4MIN;I5;I6;Itotal1;Itotalmax1;Itotalmin1;Vdcmean1;Vdcmax1;Vdcmin1;Pdcmean1;IR;T;range 1;range 2;range 3;range 4;class
3.462297954;3.462297954;3.693148883;3.425118836;5.12361E-06;3.693148883;3.425118836;5.12361E-06;3.695431521;3.695431521;3.699889494;3.690744155;2.44886E-06;3.699889494;3.690744155;3.695431521;3.695431521;426.6792982;456.6115404;393.4941809;497.6573481;497.8916076;497.3949211;161.7288293;649;33;0.268030047;0.268030047;1.33227E-14;7.99361E-15;1
4.447619495;4.447619495;4.690709116;4.408073032;5.92637E-06;4.690709116;4.408073032;5.92637E-06;4.695446141;4.695446141;4.700252886;4.689878224;2.9648E-06;4.700252886;4.689878224;4.695446141;4.695446141;435.7152542;456.8017763;426.1851492;500.3427861;500.4534064;500.2436082;206.6187997;825;32;0.282636084;0.282636084;3.01981E-14;1.15463E-14;1
1.631619762;1.631619762;1.837313653;1.61781406;0.000202533;1.837313653;1.61781406;0.000202533;1.808981042;1.808981042;1.840038901;1.794300966;0.000225179;1.840038901;1.794300966;1.808981042;1.808981042;426.3479035;457.070346;394.5171913;513.4491928;519.285186;498.7876349;81.72718071;316;14;0.219499593;0.219499593;7.10543E-15;6.88338E-15;1
2.089427371;2.089427371;3.148090794;1.897308686;0.001264834;3.148090794;1.897308686;0.001264834;3.098405671;3.098405671;3.151183171;3.068761952;0.000817501;3.151183171;3.068761952;3.098405671;3.098405671;425.9708714;456.7259917;394.282661;523.3690551;530.6411996;507.8248155;142.3317164;541;10;1.250782107;1.250782107;1.24345E-14;7.54952E-15;1
3.938369657;3.938369657;4.220086498;3.887706386;1.10079E-05;4.220086498;3.887706386;1.10079E-05;4.225701417;4.225701417;4.233053097;4.217994423;7.27597E-06;4.233053097;4.217994423;4.225701417;4.225701417;426.4722441;456.2231753;393.0799446;495.4573134;495.8003811;495.095687;184.1010172;742;35;0.332380112;0.332380112;2.53131E-14;1.77636E-14;1
0.640430851;0.640430851;0.873409663;0.596542921;6.07727E-06;0.873409663;0.596542921;6.07727E-06;0.871117321;0.871117321;0.876171706;0.86916476;2.82879E-06;0.876171706;0.86916476;0.871117321;0.871117321;426.8767352;457.3892227;394.6612321;495.8328349;496.8311585;492.0607727;37.91158946;153;22;0.276866741;0.276866741;4.44089E-15;3.10862E-15;1
0.623284161;0.623284161;0.952200364;0.572848567;0.000103381;0.952200364;0.572848567;0.000103381;0.939553467;0.939553467;0.954831506;0.930658351;6.47623E-05;0.954831506;0.930658351;0.939553467;0.939553467;426.0723788;456.8200368;394.3496757;508.3117372;515.0707907;494.621655;41.91295403;164;11;0.379351797;0.379351797;3.33067E-15;2.77556E-15;1
4.585800796;4.585800796;4.838017273;4.559888127;0.000838537;4.838017273;4.559888127;0.000838537;4.769850632;4.769850632;4.842253929;4.743090213;0.000897264;4.842253929;4.743090213;4.769850632;4.769850632;438.9168184;456.9037425;433.9529387;526.4882951;530.0356632;514.7456595;221.0729378;837;12;0.278129147;0.278129147;1.5099E-14;8.88178E-15;1
1.106496634;1.106496634;1.339409214;1.063414418;3.61465E-06;1.339409214;1.063414418;3.61465E-06;1.338162456;1.338162456;1.342182909;1.337105185;6.02809E-07;1.342182909;1.337105185;1.338162456;1.338162456;426.9689059;457.2664981;394.3166795;493.5122063;493.7949848;491.7292367;58.01419252;235;28;0.275994796;0.275994796;5.77316E-15;5.77316E-15;1
5.322665889;5.322665889;5.536780454;5.286619504;1.35247E-05;5.536780454;5.286619504;1.35247E-05;5.545854762;5.545854762;5.555035277;5.536707812;1.16367E-05;5.555035277;5.536707812;5.545854762;5.545854762;506.9262263;508.2473768;504.5403711;513.7696753;514.107601;512.8437464;250.6328834;976;23;0.25016095;0.25016095;3.55271E-14;3.10862E-14;1
2.542369233;2.542369233;2.888739813;2.472998988;8.05511E-06;2.888739813;2.472998988;8.05511E-06;2.892126376;2.892126376;2.895488557;2.888654671;1.61883E-06;2.895488557;2.888654671;2.892126376;2.892126376;426.892619;457.0696138;394.0197904;500.1593091;500.4254647;499.8935366;127.127077;508;30;0.415740825;0.415740825;1.11022E-14;8.43769E-15;1
-0.188632954;-0.188632954;0.994098188;-0.455364716;9.24147E-05;0.994098188;-0.455364716;9.24147E-05;0.997915348;0.997915348;0.998959126;0.996469017;2.09464E-07;0.998959126;0.996469017;0.997915348;0.997915348;426.8418717;456.9340436;393.9212283;483.8830147;484.279322;483.6052479;41.94191872;175;31;1.449462903;1.449462903;5.66214E-15;3.55271E-15;1
2.398980351;2.398980351;2.626549298;2.376383568;0.000395761;2.626549298;2.376383568;0.000395761;2.5857835;2.5857835;2.629497386;2.561828266;0.000443041;2.629497386;2.561828266;2.5857835;2.5857835;426.347901;457.0703435;394.5171887;517.6721989;523.7095092;503.072341;117.8127152;452;14;0.25016573;0.25016573;8.88178E-15;9.76996E-15;1
0.487364179;0.487364179;0.875779531;0.402136413;9.72038E-06;0.875779531;0.402136413;9.72038E-06;0.877318383;0.877318383;0.878821145;0.875939961;4.3556E-07;0.878821145;0.875939961;0.877318383;0.877318383;426.8926175;457.0696123;394.019789;483.7258509;484.203455;483.2681052;37.16633156;154;30;0.473643118;0.473643118;4.38538E-15;3.33067E-15;1
2.47405265;2.47405265;2.727193412;2.453982273;4.76744E-05;2.727193412;2.453982273;4.76744E-05;2.704769238;2.704769238;2.730509874;2.698095381;4.95283E-05;2.730509874;2.698095381;2.704769238;2.704769238;426.905384;457.4292944;394.6168886;509.1614869;510.3008865;502.509304;121.1365258;475;23;0.273211139;0.273211139;1.59872E-14;9.32587E-15;1
1.706359569;1.706359569;2.077314969;1.64036145;1.51251E-05;2.077314969;1.64036145;1.51251E-05;2.06734505;2.06734505;2.080371834;2.064434374;7.98232E-06;2.080371834;2.064434374;2.06734505;2.06734505;426.9759579;457.3411387;394.4202811;502.0544304;502.6839624;497.4256122;91.19448928;363;26;0.436953519;0.436953519;1.79856E-14;7.99361E-15;1
4.622142459;4.622142459;5.692056385;4.444069298;0.001117107;5.692056385;4.444069298;0.001117107;5.616424548;5.616424548;5.697462732;5.584412892;0.001162242;5.697462732;5.584412892;5.616424548;5.616424548;511.5346567;512.2020654;510.3936294;529.3495767;532.9798105;517.8279965;261.3243082;986;10;1.247987087;1.247987087;2.93099E-14;0;1
1.643976068;1.643976068;2.531988529;1.486654875;0.000823221;2.531988529;1.486654875;0.000823221;2.493106425;2.493106425;2.5348731;2.467795774;0.000507922;2.5348731;2.467795774;2.493106425;2.493106425;426.1655494;456.9037135;394.3961681;518.5187198;525.9381832;502.9689348;113.4438125;435;12;1.045333654;1.045333654;1.55431E-14;1.06581E-14;1
2.150963853;2.150963853;2.332052305;2.144871199;6.87378E-05;2.332052305;2.144871199;6.87378E-05;2.307998376;2.307998376;2.335087744;2.301621246;7.39472E-05;2.335087744;2.301621246;2.307998376;2.307998376;426.8767472;457.3892348;394.6612439;508.4733122;510.0714816;500.6046893;103.258221;405;22;0.187181106;0.187181106;8.88178E-15;1.06581E-14;1
